@relation 'airquality-weka.filters.unsupervised.attribute.Remove-R1-3,12-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Standardize'

@attribute aqi numeric
@attribute quality numeric
@attribute so2_24h numeric
@attribute no2_24h numeric
@attribute co_24h numeric
@attribute o3_8h_24h numeric
@attribute pm10_24h numeric
@attribute pm2_5_24h numeric

@data
1.711449,3,0.915003,1.271255,0.990471,-0.798886,0.116908,1.607088
0.364032,2,0.738548,1.225235,-0.094229,-0.765772,0.073242,0.164356
0.076583,1,0.032726,0.857073,-0.259261,-0.682989,-0.115976,0.183339
0.274204,2,0.032726,0.995134,-0.326966,-0.351858,-0.028644,-0.025477
0.741309,2,0.209181,0.857073,-0.334019,-0.120065,0.320681,0.126389
1.639587,3,1.267914,0.212792,0.094783,-0.086952,0.859225,1.189455
1.513828,3,1.091458,0.442892,0.103246,-0.368414,0.786449,1.170472
2.483969,4,1.179686,1.547375,0.268278,-0.63332,1.455989,1.455222
0.022686,1,-0.231957,-0.38547,-0.690884,-0.63332,-0.145086,-0.196327
0.579619,2,-0.055502,0.488912,-0.270545,-0.302188,0.218795,-0.063444
0.61555,2,0.120954,0.580953,-0.205661,-0.186292,0.23335,0.107406
1.87314,3,1.003231,1.363295,0.121583,-0.086952,0.990222,0.752839
2.052795,4,1.091458,1.363295,0.173773,-0.037282,1.106664,0.942672
1.172482,3,1.003231,0.074731,-0.050502,1.618377,1.354103,1.208439
0.274204,2,-0.408413,-0.707611,-0.779747,1.07201,-0.523522,-0.575993
0.004721,1,-0.055502,0.304832,-0.576631,-0.037282,0.713673,-0.291244
-0.624074,1,-0.320185,-0.937712,-0.710631,-0.053839,-0.305194,-0.519043
-0.677971,0,-0.320185,0.028711,-0.562525,0.012388,-0.37797,-0.575993
-0.013245,1,1.532597,0.857073,-0.006776,0.326963,0.509899,0.202323
-0.103073,1,0.385637,0.212792,0.020025,0.310406,0.23335,0.126389
0.256239,2,0.826775,0.442892,0.286615,0.956114,0.451678,0.430122
0.166411,1,2.238419,0.672993,0.653353,0.956114,0.408013,0.126389
-0.318659,1,1.885508,0.626973,0.503837,0.24418,0.175129,-0.044461
-0.570177,1,-0.320185,-0.33945,0.045414,0.14484,-0.945624,-0.538027
-0.228832,1,-0.055502,0.212792,-0.28324,0.525642,-0.305194,-0.405144
-0.174935,1,0.120954,0.488912,-0.39044,0.575312,0.422568,-0.177344
-0.498315,1,-0.055502,-0.569551,-0.798084,0.227623,-0.217863,-0.689893
0.399963,2,-0.055502,0.995134,-0.432756,0.161397,1.354103,0.012489
0.022686,1,0.120954,0.580953,-0.372103,0.575312,0.742783,-0.120394
0.651481,2,1.620825,1.087174,0.248531,1.452811,0.640896,0.069439
1.495863,3,1.356142,0.534933,0.091962,2.280641,0.961111,0.449106
1.495863,3,0.562092,0.120751,0.159667,2.280641,0.87378,0.942672
1.046724,2,0.120954,0.258812,0.124404,1.85017,0.524454,0.544022
1.477897,3,1.444369,0.534933,0.890323,2.264085,1.383213,1.037589
1.477897,3,2.061963,0.811053,0.702722,2.264085,1.470545,1.284372
1.046724,2,0.826775,0.396872,-0.12385,1.85017,0.990222,0.392156
0.93893,2,-0.143729,0.166772,0.196341,1.75083,-0.465302,0.392156
-0.103073,1,-0.49664,-0.569551,-0.302987,0.492529,0.015021,0.126389
-0.192901,1,-0.231957,0.672993,-0.54842,0.558755,-0.028644,-0.575993
-0.121038,1,-0.408413,-0.20139,-0.73461,0.558755,0.524454,-0.481077
0.220307,1,-0.143729,0.074731,-0.507514,1.02234,-0.217863,-0.575993
0.399963,2,0.032726,0.488912,-0.33543,1.204463,0.058687,-0.367177
1.621622,3,1.356142,0.074731,0.472805,2.396537,0.408013,0.183339
